source	translated	reference
A boy with a skateboard if jumping in the air along some railway tracks.	Một cậu bé với một cái ván trượt nếu nhảy lên không trung dọc theo một số đường ray.	Một cậu bé với chiếc ván trượt đang nhảy trên không dọc theo đường ray xe lửa.
There is a man in an orange shirt playing tennis.	Có một người đàn ông trong một cái áo thun đang chơi tennis.	Có một người đàn ông mặc áo sơ mi màu cam đang chơi quần vợt.
The dog with the red collar is bearing its teeth at the dog with the blue collar.	Con chó với cái vòng cổ màu đỏ đang mang hàm hàm hàm hàm răng của nó trên con chó với cái vòng cổ màu xanh.	Con chó đeo vòng cổ màu đỏ đang nhe răng với con chó đeo vòng cổ màu xanh.
The boy is outside enjoying a summer day.	Cậu bé đang ở ngoài trời nghỉ hè.	Cậu bé đang ở ngoài trời tận hưởng một ngày hè.
A worker in an orange work suit is kneeling down inspecting a piece of machinery.	Một người làm việc trong một bộ đồ màu cam đang giảm thanh tra một phần của máy móc.	Một công nhân mặc bộ đồ bảo hộ màu cam đang quỳ xuống kiểm tra một thiết bị máy móc.
Men in cowboy hats stand around at a rodeo.	Những người đàn ông cao bồi đứng xung quanh tại một đấu trường.	Những người đàn ông đội mũ cao bồi đứng xung quanh một cuộc thi đấu rodeo.
There are two dogs in the snow and one has something in his mouth.	Có hai con chó trong tuyết và một con có gì đó trong miệng nó.	Có hai con chó trên tuyết và một con đang ngậm thứ gì đó trong miệng.
An employee takes a break from working to have a drink	Một nhân viên mất một thời gian nghỉ làm việc để có một ly rượu	Một nhân viên nghỉ làm để uống nước
A beige dog runs behind a white dog holding a yellow toy.	Một con chó đáng yêu chạy phía sau một con chó trắng đang cầm một món đồ chơi màu vàng.	Một chú chó màu be chạy theo một chú chó màu trắng đang cầm một món đồ chơi màu vàng.
Hockey player in white uniform with stick	Đồng ghi đồng ghi đồng màu trắng đồng bộ với đồng	Cầu thủ khúc côn cầu mặc đồng phục màu trắng với cây gậy
Man in a white shirt with a gold watch playing with a circuit board.	Một người mặc áo trắng có một cái đồng hồ vàng chơi với một cái bảng mạch.	Người đàn ông mặc áo sơ mi trắng, đeo đồng hồ vàng đang chơi với bảng mạch điện.
A black horse sticking its head through a fence trying to reach the grass.	Một con ngựa ô thò đầu qua hàng rào cố gắng vươn tới đồng cỏ.	Một con ngựa đen thò đầu qua hàng rào cố gắng với tới bãi cỏ.
A crackhead is pretending to keep his hands warm but actually he is smoking crack.	Một kẻ lập dị giả vờ để giữ cho bàn tay mình ấm áp nhưng thực ra anh ta đang hút thuốc.	Một kẻ nghiện crack giả vờ giữ ấm tay nhưng thực chất là đang hút crack.
Two guys and a girl smiling.	Hai người đàn ông và một cô gái mỉm cười.	Hai chàng trai và một cô gái đang mỉm cười.
A child leans over a display made up of blue and yellow plastic, while an adult looks on.	Một đứa trẻ nghiêng qua một bức màn làm bằng nhựa xanh và vàng, trong khi người lớn nhìn thấy.	Một đứa trẻ đang nghiêng người nhìn vào màn hình được làm bằng nhựa màu xanh và vàng, trong khi một người lớn đang nhìn vào.
A black-and-white dog goes for a flattened ball on the snow.	Một con chó da đen và da trắng đi chơi bóng đá trên tuyết.	Một chú chó đen trắng đang lao vào bắt một quả bóng dẹt trên tuyết.
A young girl standing next to a yellow cat on a kitchen countertop.	Một cô gái trẻ đứng cạnh một con mèo vàng trên một cái bàn bếp.	Một cô gái trẻ đứng cạnh một con mèo vàng trên bệ bếp.
The two kids are playing at the playground.	Hai đứa đang chơi ở sân chơi.	Hai đứa trẻ đang chơi ở sân chơi.
A tennis player in a green striped shirt is holding his hand up to his mouth.	Một tay chơi tennis trong một chiếc áo sọc xanh đang nắm tay lên miệng anh ta.	Một vận động viên quần vợt mặc áo sơ mi sọc xanh đang đưa tay lên miệng.
A boy in a red suit plays in the water.	Một cậu bé mặc đồ màu đỏ chơi trên mặt nước.	Một cậu bé mặc bộ đồ đỏ đang chơi đùa dưới nước.
A child wearing a red coat and cap is holding a large chunk of snow.	Một đứa trẻ mặc áo khoác màu đỏ và nón đang giữ một đống tuyết lớn.	Một đứa trẻ mặc áo khoác đỏ và đội mũ đang cầm một cục tuyết lớn.
Two officers with orange jackets stand outside a white tent with onlookers.	Hai sĩ quan mặc áo khoác màu cam đứng bên ngoài một bức lều trắng với song sắt.	Hai cảnh sát mặc áo khoác màu cam đứng bên ngoài một chiếc lều màu trắng cùng với người dân hiếu kỳ.
Two people standing next to a tree on the ground.	Hai người đứng cạnh một cái cây trên mặt đất.	Hai người đứng cạnh một cái cây trên mặt đất.
Two men sit talking near a stone building.	Hai người đàn ông ngồi nói chuyện với một tòa nhà bằng đá.	Hai người đàn ông ngồi nói chuyện gần một tòa nhà bằng đá.
A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.	Một đứa trẻ đeo kính đeo một đứa trẻ tóc vàng đeo một chiếc áo len màu đỏ và đôi giày màu vàng.	Một đứa trẻ tóc nâu đeo kính đang bế một đứa trẻ tóc vàng mặc áo len đỏ và đi bốt vàng.
A black and white dog is playing with a white ball.	Một con chó trắng đen đang chơi bóng trắng.	Một chú chó đen trắng đang chơi với một quả bóng trắng.
Two people are kissing on a sidewalk in front of a limo while people walk by.	Hai người đang hôn nhau trên một vỉa hè trước mặt một người đi ngang qua.	Hai người đang hôn nhau trên vỉa hè trước một chiếc xe limousine trong khi mọi người đi ngang qua.
A woman is playing volleyball.	Một người phụ nữ đang chơi đùa.	Một người phụ nữ đang chơi bóng chuyền.
Two large dogs are fighting in a dirt field.	Hai con chó lớn đang chiến đấu trên một cánh đồng.	Hai con chó lớn đang đánh nhau trên một cánh đồng đất.
A brown dog jumping over a hurdle.	Một con chó nâu nhảy qua một con.	Một chú chó nâu đang nhảy qua rào chắn.
A man wearing a striped shirt is smoking a cigarette on the street	♪ Một người đàn ông mặc áo sọc thoát y ♪ ♪ ♪ Một người đàn ông mặc áo dài ♪ ♪	Một người đàn ông mặc áo sơ mi kẻ sọc đang hút thuốc trên phố
A little girl is holding a little boy on her lap.	Một bé gái đang ôm một bé trai trong lòng.	Một bé gái đang bế một bé trai trên đùi.
A man trying to ride a very mad bull on a beautiful Saturday afternoon.	Một người đàn ông đang cố gắng để đi một con bò điên vào một buổi chiều đẹp trời buổi chiều.	Một người đàn ông đang cố cưỡi một con bò đực điên cuồng vào một buổi chiều thứ bảy đẹp trời.
Children fight to win a tug-of-war battle.	Trẻ con chiến đấu để chiến thắng trong một trận chiến giữa các trận chiến.	Trẻ em chiến đấu để giành chiến thắng trong trò kéo co.
A cyclist is leaning a mountain bike around a bend on a dirt track.	Một người đi xe đạp đang đi dọc theo một đỉnh núi vòng quanh một khúc cua trên một đường đất.	Một người đi xe đạp đang nghiêng chiếc xe đạp leo núi quanh khúc cua trên đường đất.
Two people and a leashed cow at a home.	Hai người và một con bò cái ở nhà.	Hai người và một con bò bị xích tại một ngôi nhà.
The young boy learns how to ride a bike with his dad.	Cậu bé học cách đi xe đạp với bố nó.	Cậu bé đang học cách đi xe đạp cùng bố.
Boy in red shirt and black shorts sweeps driveway.	Bé trai mặc áo sơ mi đỏ và quần lót đen.	Cậu bé mặc áo sơ mi đỏ và quần short đen đang quét đường lái xe.
An african family are standing in front of some makeshift houses.	Một gia đình người Phi đang đứng trước một số nhà sản xuất.	Một gia đình người Châu Phi đang đứng trước những ngôi nhà tạm bợ.
A man playing an instrument next to a tree.	Một người đàn ông chơi một công cụ kế bên một cây.	Một người đàn ông đang chơi nhạc cụ bên cạnh một cái cây.
Two women are holding hands over a table and smiling at the camera.	Hai phụ nữ cầm tay nhau trên một cái bàn và mỉm cười với máy ảnh.	Hai người phụ nữ nắm tay nhau trên bàn và mỉm cười với ống kính máy ảnh.
A panting brown dog walking on the grass.	Một con chó màu nâu đi bộ trên cỏ.	Một chú chó nâu thở hổn hển đang đi trên bãi cỏ.
A baseball player in a black shirt just tagged a player in a white shirt.	Một cầu thủ bóng chày mặc áo sơ mi đen, chỉ là một cầu thủ mặc áo sơ mi trắng.	Một cầu thủ bóng chày mặc áo sơ mi đen vừa chạm vào một cầu thủ mặc áo sơ mi trắng.
A woman is holding a large check for Kids Food Basket.	Một người phụ nữ đang cầm một tấm séc lớn cho những đứa trẻ thực phẩm Basket.	Một người phụ nữ đang cầm tấm séc lớn dành cho Kids Food Basket.
The two dogs, one with a tennis ball in its mouth, are running through tall grass.	Hai con chó, một với một quả bóng tennis trong miệng nó, đang chạy qua cỏ cao.	Hai con chó, một con ngậm quả bóng tennis trong miệng, đang chạy qua đám cỏ cao.
